"Your query : (ALL(""astrophysics"" AND ""machine learning""))",
Number of results : 4867,
Year,Papers
2020,317
2019,1116
2018,779
2017,567
2016,465
2015,317
2014,239
2013,197
2012,158
2011,123
2010,132
2009,94
2008,82
2007,85
2006,51
2005,38
2004,29
2003,14
2002,16
2001,12
2000,9
1999,3
1998,8
1997,3
1996,3
1995,2
1994,2
1993,2
1992,2
1990,1
1985,1
