"Your query : (ALL((""astrophysics"" OR ""astronomy"") AND (""machine learning"")))",
Number of results : 13131,
Year,Papers
2021,2405
2020,2772
2019,2043
2018,1427
2017,973
2016,715
2015,554
2014,404
2013,348
2012,275
2011,201
2010,203
2009,156
2008,145
2007,123
2006,88
2005,69
2004,45
2003,29
2002,31
2001,26
2000,13
1999,10
1998,11
1997,18
1996,8
1995,6
1994,3
1993,3
1992,3
1991,1
1990,4
1989,1
1988,1
1987,1
1985,1
