"Your query : (ALL((""astrophysics"" OR ""astronomy"") AND (""machine learning"") AND (""deep learning"" OR ""neural networks"")))",
Number of results : 5784,
Year,Papers
2021,1301
2020,1406
2019,996
2018,586
2017,325
2016,224
2015,175
2014,109
2013,107
2012,89
2011,80
2010,85
2009,63
2008,52
2007,37
2006,38
2005,24
2004,21
2003,8
2002,11
2001,10
2000,3
1999,3
1998,5
1997,3
1996,6
1995,1
1994,1
1993,1
1992,1
1991,1
1990,2
1988,1
1985,1
