"Your query : (ALL(""machine learning"" AND ""planetary science""))",
Number of results : 2087,
Year,Papers
2020,274
2019,551
2018,309
2017,191
2016,160
2015,128
2014,97
2013,78
2012,74
2011,38
2010,44
2009,25
2008,20
2007,21
2006,13
2005,8
2004,8
2003,10
2002,11
2001,6
2000,3
1999,4
1998,9
1997,2
1995,1
1993,1
1992,1
